"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","47/824","333/9564",0.141141141141141,1.63819644887606,3.63962879249921,0.000469746099005059,0.00488251248359804,0.00371601379755198,"8321/84552/5747/3696/1288/5295/7098/9586/7187/8313/3694/355/245973/3371/3678/23493/155066/894/8322/8324/7473/64764/472/5520/2308/3680/523/3690/83439/3909/90993/3673/3280/1292/3918/3716/3679/534/1978/3672/3912/84441/7855/1291/1286/7124/7976",47
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","50/824","362/9564",0.138121546961326,1.60314863487636,3.59205094434315,0.000521617294224107,0.0051690126877323,0.00393406520349121,"5747/284/9863/1902/3696/2846/1288/5295/9586/3694/2247/3371/3678/4804/4254/56034/2260/596/5563/894/10681/64764/3667/5520/23035/4915/5228/3680/3690/3909/90993/2250/3570/3673/2309/1292/3918/3716/3679/2254/2263/5578/1978/10018/3672/3912/4233/1291/1286/2786",50
"Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","19/824","97/9564",0.195876288659794,2.27349614653188,3.8706355506676,0.000527450274258398,0.0051690126877323,0.00393406520349121,"3708/107/801/775/111/2775/5579/810/5592/818/3760/10681/776/117/2982/816/5578/8912/2786",19
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","33/824","212/9564",0.155660377358491,1.80671826341821,3.64705689039171,0.000590378233789825,0.00562499261638639,0.00428110532104902,"51735/673/5906/84552/284/9863/1902/55740/107/801/2846/5295/111/2775/2247/4804/4254/5579/56034/2260/810/60/10235/5228/3690/2250/2254/2263/5578/6237/5899/5028/4233",33
"Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","28/824","170/9564",0.164705882352941,1.91170759565962,3.68264387650378,0.00060825828656537,0.00563871871059248,0.0042915520645295,"8321/673/2948/7042/5295/8313/1029/119391/5579/60/2944/8322/8324/7473/7043/53358/4089/83439/2549/2946/2940/2949/2953/5578/2947/7855/4233/7976",28
"Human Diseases","Substance dependence","hsa05031","Amphetamine addiction","15/824","69/9564",0.217391304347826,2.52321654706627,3.89891419110204,0.00064185575236397,0.00570472707241903,0.00434179013030511,"801/775/111/6571/9586/5579/810/4129/818/64764/90993/776/816/6531/5578",15
"Human Diseases","Substance dependence","hsa05032","Morphine addiction","18/824","91/9564",0.197802197802198,2.29584978128667,3.81361243208142,0.000648642436805662,0.00570472707241903,0.00434179013030511,"8622/408/2869/5144/107/111/2775/55879/5579/3760/10681/2562/2560/5137/2561/5141/5578/2786",18
"Organismal Systems","Endocrine system","hsa04916","Melanogenesis","19/824","101/9564",0.188118811881188,2.18345669518408,3.67116247211965,0.000886764127849641,0.00744044222040403,0.00566281930538652,"8321/107/801/111/2775/4254/5579/810/8322/8324/818/7473/64764/83439/90993/816/5578/7855/7976",19
"Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","33/824","217/9564",0.152073732718894,1.76508881034406,3.50034267919091,0.000894851437653525,0.00744044222040403,0.00566281930538652,"332/5465/408/2948/3838/107/5295/775/111/9586/2247/119391/5241/5579/596/2944/1136/64764/1576/90993/776/2250/2254/2946/153/2940/2949/2953/5578/1978/2947/85315/2053",33
"Human Diseases","Endocrine and metabolic disease","hsa04931","Insulin resistance","20/824","109/9564",0.18348623853211,2.12968736082658,3.64204845595322,0.000911074557600493,0.00744044222040403,0.00566281930538652,"5465/11000/10891/5295/8473/9586/5834/79660/5579/5563/5507/4792/64764/3667/5565/2308/90993/32/5781/7124",20
